channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs,start,income,stream_time_h/m
kennybeats,47,https://static-cdn.jtvnw.net/jtv_user_pictures/b83d99ea-715f-40c9-9349-fd87d63f049a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8935080,5280,11803,1692,296815,TRUE,FALSE,English,https://www.twitch.tv/kennybeats/about,1127,"Dec 11, 2019",2817.5,29.33
ZeratoR,49,https://static-cdn.jtvnw.net/jtv_user_pictures/599b546a-c27f-4684-93ff-5eeecd01fb2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8541945,375,30734,22779,1325290,TRUE,TRUE,French,https://www.twitch.tv/ZeratoR/about,13998,"Mar 25, 2013",34995,2.08
TheJebusCorner,50,https://static-cdn.jtvnw.net/jtv_user_pictures/7b57c363-bb1d-415f-82e4-5f60d8899d02-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8510910,10050,14045,847,11622,FALSE,FALSE,English,https://www.twitch.tv/TheJebusCorner/about,65,"Jun 21, 2012",162.5,55.83
SeolAhh,51,https://static-cdn.jtvnw.net/jtv_user_pictures/598ce210-cd93-4179-83fa-44a69205b796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8497200,8460,7932,1004,23310,TRUE,FALSE,English,https://www.twitch.tv/SeolAhh/about,132,"Jul 26, 2020",330,47.00
knxwledge,52,https://static-cdn.jtvnw.net/jtv_user_pictures/1545b664-292e-4962-bd16-f3ddbb667b8e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8381340,30885,1358,271,52664,TRUE,TRUE,English,https://www.twitch.tv/knxwledge/about,703,"May 22, 2017",1757.5,171.58
JoPlaysViolin,53,https://static-cdn.jtvnw.net/jtv_user_pictures/81b07b45-4cce-4523-95e1-18ea5ff40f01-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8377560,13590,4032,616,24295,TRUE,FALSE,English,https://www.twitch.tv/JoPlaysViolin/about,2000,"Nov 5, 2018",5000,75.50
pealeaf,54,https://static-cdn.jtvnw.net/jtv_user_pictures/34840123-59ba-4fd7-a3a6-5884417310e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8373375,9210,5140,909,46882,TRUE,FALSE,English,https://www.twitch.tv/pealeaf/about,331,"Jan 22, 2018",827.5,51.17
PapiGaviTV,56,https://static-cdn.jtvnw.net/jtv_user_pictures/dc30d56e-ff26-4e83-87f8-d9dbb9ad85be-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8332335,675,42638,12344,803321,TRUE,FALSE,Spanish,https://www.twitch.tv/PapiGaviTV/about,712,"Dec 18, 2014",1780,3.75
sunshineliveradio,57,https://static-cdn.jtvnw.net/jtv_user_pictures/e426fcd3-9098-415f-8042-a87b8715a9c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8219820,14850,2211,554,24948,FALSE,FALSE,German,https://www.twitch.tv/sunshineliveradio/about,26,"Apr 22, 2020",65,82.50
willfox,60,https://static-cdn.jtvnw.net/jtv_user_pictures/5e675187-97c8-4d30-b41c-a50868bc0c8d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7849155,11040,5806,711,28024,TRUE,FALSE,English,https://www.twitch.tv/willfox/about,172,"Dec 31, 2012",430,61.33
