channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs
SixtySevenRadio,32,https://static-cdn.jtvnw.net/jtv_user_pictures/c6efac2f-6b2d-4a4d-845d-363f6b1c9251-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11253000,117255,202,96,1894,FALSE,FALSE,English,https://www.twitch.tv/SixtySevenRadio/about,
tominboston,33,https://static-cdn.jtvnw.net/jtv_user_pictures/70b5660b-fc80-429d-895a-03942c10d8c1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11107425,5655,13724,1964,5684,FALSE,FALSE,English,https://www.twitch.tv/tominboston/about,
DirkNeuenfels,34,https://static-cdn.jtvnw.net/jtv_user_pictures/d5845c87-84f4-48e3-8443-62169568968a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10985265,16395,1846,670,24223,TRUE,TRUE,German,https://www.twitch.tv/DirkNeuenfels/about,
LeonBratt,35,https://static-cdn.jtvnw.net/jtv_user_pictures/f84a230f-9700-4027-a032-84965ab33ba7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10719390,8505,7171,1260,47288,TRUE,FALSE,English,https://www.twitch.tv/LeonBratt/about,
HotBeatsTV,36,https://static-cdn.jtvnw.net/jtv_user_pictures/8d369282-ba4e-4f60-b9d3-fbcab2cd83ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10297005,127455,200,81,56315,FALSE,FALSE,English,https://www.twitch.tv/HotBeatsTV/about,
theneedledrop,37,https://static-cdn.jtvnw.net/jtv_user_pictures/91b9b73e-b654-4cad-bc95-c7d42d59c6a3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10296990,3750,17935,2746,295565,TRUE,FALSE,English,https://www.twitch.tv/theneedledrop/about,
Ailenax,38,https://static-cdn.jtvnw.net/jtv_user_pictures/9e6b33e6-ab61-4199-958c-06f17cf2857c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10106460,12135,1968,833,31677,TRUE,TRUE,German,https://www.twitch.tv/Ailenax/about,
CaptainJen_E,39,https://static-cdn.jtvnw.net/jtv_user_pictures/6acf6ab5-0740-4eea-bf43-572aa8124106-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10030155,9675,7947,1037,19955,TRUE,FALSE,English,https://www.twitch.tv/CaptainJen_E/about,
RedBullBatalla,40,https://static-cdn.jtvnw.net/jtv_user_pictures/3c9d41ae-6f79-414a-a7ea-bf9d0eff4542-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,9782310,1470,43920,6655,146743,TRUE,FALSE,Spanish,https://www.twitch.tv/RedBullBatalla/about,
KpopTV247,41,https://static-cdn.jtvnw.net/jtv_user_pictures/d8778069-9908-47fd-9499-a19468ddaada-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,9692385,126225,267,77,71102,FALSE,FALSE,English,https://www.twitch.tv/KpopTV247/about,
YoDa,42,https://static-cdn.jtvnw.net/jtv_user_pictures/1cce6c41-aaf8-44c2-ad1b-ef76fb0eede3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,9503805,525,28474,18102,2219735,TRUE,TRUE,Portuguese,https://www.twitch.tv/YoDa/about,
꽃핀 (cherrypach),43,https://static-cdn.jtvnw.net/jtv_user_pictures/45059e9b-4b1e-4387-ba14-9a78477e6ca9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,9408660,2910,6831,3233,306783,TRUE,FALSE,Korean,https://www.twitch.tv/꽃핀 (cherrypach)/about,
c9judite,44,https://static-cdn.jtvnw.net/jtv_user_pictures/f5e303a3-d09a-460f-8970-df60ce86ca0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,9036705,43890,540,206,182844,TRUE,FALSE,Portuguese,https://www.twitch.tv/c9judite/about,
perec_fm,45,https://static-cdn.jtvnw.net/jtv_user_pictures/1dbcbdbd152294de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,9022890,118410,439,76,2444,FALSE,FALSE,Ukrainian,https://www.twitch.tv/perec_fm/about,
withDoc,46,https://static-cdn.jtvnw.net/jtv_user_pictures/f79ef21f-71bd-4846-80bb-60b2ac433925-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8992470,9135,14277,984,4588,FALSE,FALSE,English,https://www.twitch.tv/withDoc/about,
kennybeats,47,https://static-cdn.jtvnw.net/jtv_user_pictures/b83d99ea-715f-40c9-9349-fd87d63f049a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8935080,5280,11803,1692,296815,TRUE,FALSE,English,https://www.twitch.tv/kennybeats/about,
JustineGriffin,48,https://static-cdn.jtvnw.net/jtv_user_pictures/f7826cda-9395-4e82-9a85-2ae55d4f36e9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8590020,7365,6943,1166,56683,TRUE,FALSE,English,https://www.twitch.tv/JustineGriffin/about,
ZeratoR,49,https://static-cdn.jtvnw.net/jtv_user_pictures/599b546a-c27f-4684-93ff-5eeecd01fb2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8541945,375,30734,22779,1325290,TRUE,TRUE,French,https://www.twitch.tv/ZeratoR/about,
TheJebusCorner,50,https://static-cdn.jtvnw.net/jtv_user_pictures/7b57c363-bb1d-415f-82e4-5f60d8899d02-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8510910,10050,14045,847,11622,FALSE,FALSE,English,https://www.twitch.tv/TheJebusCorner/about,
SeolAhh,51,https://static-cdn.jtvnw.net/jtv_user_pictures/598ce210-cd93-4179-83fa-44a69205b796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8497200,8460,7932,1004,23310,TRUE,FALSE,English,https://www.twitch.tv/SeolAhh/about,
knxwledge,52,https://static-cdn.jtvnw.net/jtv_user_pictures/1545b664-292e-4962-bd16-f3ddbb667b8e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8381340,30885,1358,271,52664,TRUE,TRUE,English,https://www.twitch.tv/knxwledge/about,
JoPlaysViolin,53,https://static-cdn.jtvnw.net/jtv_user_pictures/81b07b45-4cce-4523-95e1-18ea5ff40f01-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8377560,13590,4032,616,24295,TRUE,FALSE,English,https://www.twitch.tv/JoPlaysViolin/about,
pealeaf,54,https://static-cdn.jtvnw.net/jtv_user_pictures/34840123-59ba-4fd7-a3a6-5884417310e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8373375,9210,5140,909,46882,TRUE,FALSE,English,https://www.twitch.tv/pealeaf/about,
LITkillah,55,https://static-cdn.jtvnw.net/jtv_user_pictures/49d93bca-ab1b-401a-8775-2f06af4b71d4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8365665,240,52188,34857,2241376,TRUE,FALSE,Spanish,https://www.twitch.tv/LITkillah/about,
PapiGaviTV,56,https://static-cdn.jtvnw.net/jtv_user_pictures/dc30d56e-ff26-4e83-87f8-d9dbb9ad85be-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8332335,675,42638,12344,803321,TRUE,FALSE,Spanish,https://www.twitch.tv/PapiGaviTV/about,
sunshineliveradio,57,https://static-cdn.jtvnw.net/jtv_user_pictures/e426fcd3-9098-415f-8042-a87b8715a9c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8219820,14850,2211,554,24948,FALSE,FALSE,German,https://www.twitch.tv/sunshineliveradio/about,
DeApresSkihut,58,https://static-cdn.jtvnw.net/jtv_user_pictures/e7e31d05-e8dd-47fb-85d8-f7c17303ad67-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,8086230,12585,1448,643,29204,FALSE,FALSE,Dutch,https://www.twitch.tv/DeApresSkihut/about,
LatinUp,59,https://static-cdn.jtvnw.net/jtv_user_pictures/f5dcd8de-2aad-4682-8dc4-947844e30d67-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7877385,1545,38845,5099,9016,TRUE,FALSE,English,https://www.twitch.tv/LatinUp/about,
